timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65724.29718591667, 0.0381622314453125, -0.709259033203125, -0.59515380859375, 0.013887586072087288, 0.12577123939990997, -0.16499002277851105
65724.30725591668, 0.0364990234375, -0.7128143310546875, -0.595916748046875, 0.006637929007411003, 0.14637185633182526, -0.11700012534856796
65724.31732554168, 0.0323333740234375, -0.71917724609375, -0.592010498046875, -0.00324799120426178, 0.1770741194486618, -0.07437436282634735
65724.32739454167, 0.0299530029296875, -0.730499267578125, -0.5780181884765625, -0.009927199222147465, 0.21787267923355103, -0.03893488273024559
65724.33746454168, 0.024749755859375, -0.73712158203125, -0.565673828125, -0.021747106686234474, 0.23989887535572052, -0.015200790949165821
65724.34753454167, 0.031585693359375, -0.7460784912109375, -0.5524749755859375, -0.0287040825933218, 0.25144901871681213, -0.0028133634477853775
65724.35760454167, 0.0471649169921875, -0.76605224609375, -0.537567138671875, -0.04306863993406296, 0.2601817846298218, 0.008317850530147552
65724.36767454167, 0.0555877685546875, -0.786376953125, -0.5181884765625, -0.05043867230415344, 0.2654663026332855, 0.020428309217095375
65724.37774354167, 0.0609588623046875, -0.8043060302734375, -0.5119476318359375, -0.07690703123807907, 0.2563188672065735, 0.026694728061556816
65724.38781354167, 0.0626373291015625, -0.81719970703125, -0.50665283203125, -0.11227114498615265, 0.2528511583805084, 0.026210565119981766
65724.39788354166, 0.0531005859375, -0.8355255126953125, -0.5015869140625, -0.16204668581485748, 0.2480873018503189, 0.02105761505663395
65724.40795354167, 0.0384063720703125, -0.8415679931640625, -0.4981689453125, -0.21243876218795776, 0.24338975548744202, 0.01689802296459675
65724.41802254166, 0.0256195068359375, -0.8401947021484375, -0.5052032470703125, -0.25598251819610596, 0.22559690475463867, 0.016834907233715057
65724.42809254167, 0.0247955322265625, -0.835174560546875, -0.52142333984375, -0.2967589795589447, 0.22474469244480133, 0.020927386358380318
65724.43816254167, 0.0232391357421875, -0.8314971923828125, -0.541595458984375, -0.3276526927947998, 0.2109239548444748, 0.03508927673101425
65724.44823254168, 0.03326416015625, -0.822296142578125, -0.5576934814453125, -0.33047884702682495, 0.2045515477657318, 0.05883322283625603
65724.45830154167, 0.0528717041015625, -0.818084716796875, -0.5731201171875, -0.31479230523109436, 0.19999727606773376, 0.09999610483646393
65724.46837154168, 0.065887451171875, -0.8239898681640625, -0.58746337890625, -0.275035560131073, 0.20026464760303497, 0.1412830948829651
65724.47844154167, 0.061767578125, -0.83172607421875, -0.5921478271484375, -0.2284235805273056, 0.1948871910572052, 0.17733269929885864
65724.48851154167, 0.0481719970703125, -0.8446197509765625, -0.5859222412109375, -0.18397782742977142, 0.1834675669670105, 0.20156294107437134
65724.49858054167, 0.039581298828125, -0.8641357421875, -0.5723724365234375, -0.14465704560279846, 0.16873016953468323, 0.2127692550420761
65724.50865054167, 0.0298309326171875, -0.87908935546875, -0.5673370361328125, -0.128458634018898, 0.1695735901594162, 0.20998331904411316
65724.51872054167, 0.024658203125, -0.8858642578125, -0.5611114501953125, -0.1158461719751358, 0.18277859687805176, 0.1964387595653534
65724.52879054168, 0.0239410400390625, -0.88189697265625, -0.5578460693359375, -0.1043248102068901, 0.21569128334522247, 0.1804874837398529
65724.53885954167, 0.0261383056640625, -0.875823974609375, -0.5595855712890625, -0.08814077824354172, 0.24846786260604858, 0.1688302904367447
65724.54892954168, 0.0294036865234375, -0.866729736328125, -0.5799560546875, -0.07611580938100815, 0.2882041037082672, 0.16913150250911713
65724.55899954167, 0.039794921875, -0.856170654296875, -0.5944366455078125, -0.04669666662812233, 0.3198229968547821, 0.18498902022838593
65724.56906954167, 0.053253173828125, -0.848358154296875, -0.6046142578125, -0.014222345314919949, 0.34123721718788147, 0.20753854513168335
65724.57913854167, 0.0661773681640625, -0.8482666015625, -0.61187744140625, 0.026068618521094322, 0.35742178559303284, 0.2307426631450653
65724.58920854167, 0.077606201171875, -0.84130859375, -0.6106109619140625, 0.06695239990949631, 0.37710627913475037, 0.2625080645084381
65724.59927854167, 0.0791778564453125, -0.834014892578125, -0.61199951171875, 0.09577233344316483, 0.4020947217941284, 0.28367939591407776
65724.60934854166, 0.0764617919921875, -0.823577880859375, -0.6120147705078125, 0.12353605031967163, 0.4330499768257141, 0.2933589220046997
65724.61941854167, 0.0769195556640625, -0.816864013671875, -0.6133880615234375, 0.13827505707740784, 0.4548647105693817, 0.30094730854034424
65724.62948754166, 0.08447265625, -0.8176727294921875, -0.6199798583984375, 0.14966513216495514, 0.48216718435287476, 0.30187249183654785
65724.63955754167, 0.0976409912109375, -0.81719970703125, -0.6305694580078125, 0.16031190752983093, 0.5129051208496094, 0.31243035197257996
65724.64962754167, 0.109283447265625, -0.809478759765625, -0.644134521484375, 0.1796318143606186, 0.5476284623146057, 0.31930580735206604
65724.65969754168, 0.11651611328125, -0.8029937744140625, -0.6649017333984375, 0.21125738322734833, 0.5789880156517029, 0.33613672852516174
65724.66976654167, 0.105133056640625, -0.8208160400390625, -0.681396484375, 0.27036890387535095, 0.5941605567932129, 0.3473832607269287
65724.67983654168, 0.0873260498046875, -0.84271240234375, -0.679962158203125, 0.34200260043144226, 0.6561957001686096, 0.3685407340526581
65724.68990654167, 0.09783935546875, -0.837127685546875, -0.665435791015625, 0.3910290002822876, 0.7835408449172974, 0.3760654926300049
65724.69997654167, 0.125244140625, -0.8574676513671875, -0.6513519287109375, 0.3908572494983673, 0.9387294054031372, 0.3806583881378174
65724.71004554167, 0.1370391845703125, -0.8950347900390625, -0.6328125, 0.34199222922325134, 1.1003260612487793, 0.37784343957901
65724.72011554167, 0.1338348388671875, -0.930694580078125, -0.6079254150390625, 0.26968687772750854, 1.2198758125305176, 0.3796285390853882
65724.73018554167, 0.15521240234375, -0.9453125, -0.584991455078125, 0.18416184186935425, 1.294922113418579, 0.3850238621234894
65724.74025554168, 0.1983489990234375, -0.9331207275390625, -0.5743560791015625, 0.09151899814605713, 1.338847279548645, 0.4090578258037567
