timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65911.956993875, -0.0995635986328125, -1.0095977783203125, 0.4226837158203125, 0.21988388895988464, 0.5528464317321777, -0.05104880407452583
65911.967064875, -0.091888427734375, -1.006072998046875, 0.4107666015625, 0.1979474425315857, 0.5601815581321716, -0.04791053384542465
65911.97713487501, -0.0893096923828125, -0.9994659423828125, 0.3889312744140625, 0.19406108558177948, 0.5561399459838867, -0.03708957880735397
65911.987205875, -0.09259033203125, -0.9885101318359375, 0.362274169921875, 0.2099074274301529, 0.5465946197509766, -0.026073679327964783
65911.997276875, -0.08868408203125, -0.9760284423828125, 0.3438262939453125, 0.23433047533035278, 0.5420853495597839, -0.005768406670540571
65912.007346875, -0.0866241455078125, -0.9637298583984375, 0.336700439453125, 0.2622835338115692, 0.5307155251502991, 0.015895076096057892
65912.017417875, -0.08782958984375, -0.955657958984375, 0.3368072509765625, 0.2807016968727112, 0.5191065669059753, 0.033679667860269547
65912.027488875, -0.0919036865234375, -0.957061767578125, 0.34661865234375, 0.28187936544418335, 0.5146004557609558, 0.041853439062833786
65912.037558875, -0.1042022705078125, -0.9602508544921875, 0.3689117431640625, 0.25749385356903076, 0.5199171900749207, 0.04309740290045738
65912.047629875, -0.123138427734375, -0.9608001708984375, 0.396087646484375, 0.20746557414531708, 0.5465711951255798, 0.03460005670785904
65912.057700875, -0.1377410888671875, -0.9581756591796875, 0.4130706787109375, 0.14722566306591034, 0.5743532776832581, 0.027812190353870392
65912.067770875, -0.1434783935546875, -0.9556884765625, 0.4146575927734375, 0.08919619023799896, 0.5902653932571411, 0.017068732529878616
65912.077841875, -0.1436920166015625, -0.951019287109375, 0.406402587890625, 0.04929511249065399, 0.59250807762146, 0.006298109423369169
65912.08791287501, -0.144927978515625, -0.9473419189453125, 0.3922882080078125, 0.027770644053816795, 0.5907338857650757, -0.0027957865968346596
65912.097982875, -0.1342926025390625, -0.94122314453125, 0.3761444091796875, 0.026644127443432808, 0.5789243578910828, -0.0067569720558822155
65912.10805387501, -0.121002197265625, -0.9327850341796875, 0.3634033203125, 0.049252234399318695, 0.5510021448135376, -0.013684120960533619
65912.118124875, -0.1142578125, -0.928131103515625, 0.3547210693359375, 0.08168074488639832, 0.5136982202529907, -0.024083498865365982
65912.12819487501, -0.1126251220703125, -0.9258575439453125, 0.352935791015625, 0.11258566379547119, 0.47624191641807556, -0.03139760345220566
65912.13826587501, -0.1103057861328125, -0.9230499267578125, 0.3544769287109375, 0.14024552702903748, 0.43980827927589417, -0.037873078137636185
65912.148336875, -0.1111907958984375, -0.9177703857421875, 0.35894775390625, 0.15892013907432556, 0.4210212528705597, -0.046786148101091385
65912.15840687501, -0.116302490234375, -0.910186767578125, 0.366851806640625, 0.1608450710773468, 0.4107300043106079, -0.05563929304480553
65912.168477875, -0.11798095703125, -0.908172607421875, 0.374267578125, 0.1513301283121109, 0.40202146768569946, -0.060323260724544525
65912.178548875, -0.115386962890625, -0.9078216552734375, 0.3747100830078125, 0.13923831284046173, 0.40845727920532227, -0.05810990929603577
65912.188618875, -0.11761474609375, -0.8956298828125, 0.371978759765625, 0.13393010199069977, 0.4261142909526825, -0.0533287338912487
