first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
161,314,4830,9420,4590,0.23211119379223077
169,321,5070,9630,4560,0.23338945315062581
145,158,4350,4740,390,0.2338937877029804
16,314,480,9420,8940,0.23411769478122718
7,177,210,5310,5100,0.23431385526964138
176,324,5280,9720,4440,0.2356126384261739
275,291,8250,8730,480,0.23566519219430385
92,251,2760,7530,4770,0.23590955187452395
127,286,3810,8580,4770,0.2370565852090504
162,185,4860,5550,690,0.237389854496887
302,310,9060,9300,240,0.2378529663193848
28,196,840,5880,5040,0.23791594102478725
276,289,8280,8670,390,0.23826216218407467
114,270,3420,8100,4680,0.2383281992683301
91,100,2730,3000,270,0.23848455121330817
151,306,4530,9180,4650,0.2385967365052892
274,292,8220,8760,540,0.23931827083855695
23,142,690,4260,3570,0.23937514963349033
188,313,5640,9390,3750,0.2397160226756901
149,307,4470,9210,4740,0.24022016755595893
149,303,4470,9090,4620,0.24062523048279466
29,197,870,5910,5040,0.24112349126601018
21,143,630,4290,3660,0.24223243091396743
13,317,390,9510,9120,0.2424280405845094
27,194,810,5820,5010,0.24251077763502596
118,135,3540,4050,510,0.24263498983809478
37,205,1110,6150,5040,0.24267850075732755
80,221,2400,6630,4230,0.24323800511297475
5,325,150,9744,9594,0.2441099362252419
106,217,3180,6510,3330,0.24423131707365053
0,172,0,5160,5160,0.24448041475965185
28,195,840,5850,5010,0.24699560502950527
40,207,1200,6210,5010,0.24729822139057517
273,292,8190,8760,570,0.2476607573172208
53,82,1590,2460,870,0.24769335458587277
272,293,8160,8790,630,0.24826133171555767
146,300,4380,9000,4620,0.24847652587995386
275,290,8250,8700,450,0.24872834491464718
119,290,3570,8700,5130,0.2490896528175356
30,197,900,5910,5010,0.2493706850195714
16,186,480,5580,5100,0.2495936832917732
18,159,540,4770,4230,0.24972188239680834
3,173,90,5190,5100,0.2499771272569922
6,324,180,9720,9540,0.25009295989499447
190,297,5700,8910,3210,0.25063306052582984
10,319,300,9570,9270,0.2509774533856883
85,105,2550,3150,600,0.2510694799761421
159,313,4770,9390,4620,0.2511573716957062
161,185,4830,5550,720,0.2514923494128816
91,250,2730,7500,4770,0.25150298794407716
25,192,750,5760,5010,0.25159743971130877
136,274,4080,8220,4140,0.2518186401500623
4,175,120,5250,5130,0.2518630012499746
38,206,1140,6180,5040,0.2518838252219473
4,177,120,5310,5190,0.2519960209763422
85,218,2550,6540,3990,0.2520744280819813
145,312,4350,9360,5010,0.2522013165422119
147,310,4410,9300,4890,0.25237688178937673
168,320,5040,9600,4560,0.25247691041627285
16,315,480,9450,8970,0.25266375576654293
182,318,5460,9540,4080,0.2527581811727655
187,312,5610,9360,3750,0.25366786954786397
9,320,270,9600,9330,0.254676960058007
87,245,2610,7350,4740,0.25481013666824465
90,249,2700,7470,4770,0.25524669885138596
148,308,4440,9240,4800,0.25572863740102275
272,294,8160,8820,660,0.25680494142731436
31,198,930,5940,5010,0.257350597048353
102,248,3060,7440,4380,0.2577892827861082
118,292,3540,8760,5220,0.2584324333172068
